,index,game,session,round,player,player_id,is_bot,displayed_choice_eta,player_choice_eta,timeChoice,timeResults
192,0,all_apps_wide_2024-12-06,5m4a8uoo,1,ciq5t1rm,1,False,0.0,0.0,2631.0,1185.0
193,1,all_apps_wide_2024-12-06,5m4a8uoo,1,uknfogys,2,False,0.0,0.0,2323.0,1496.0
194,2,all_apps_wide_2024-12-06,5m4a8uoo,1,0zsu29c4,3,True,1.0,0.0,1449.0,1003.0
195,3,all_apps_wide_2024-12-06,5m4a8uoo,1,qrad22bv,4,False,0.0,0.0,1961.0,1494.0
196,4,all_apps_wide_2024-12-06,5m4a8uoo,1,gnnpegs2,5,True,1.0,0.0,2579.0,923.0
197,5,all_apps_wide_2024-12-06,5m4a8uoo,1,n0oeob1a,6,False,0.0,0.0,2017.0,1966.0
198,6,all_apps_wide_2024-12-06,5m4a8uoo,1,27vtfec0,7,False,0.0,0.0,1800.0,2332.0
199,7,all_apps_wide_2024-12-06,5m4a8uoo,2,ciq5t1rm,1,False,0.0,0.0,402.0,1530.0
200,8,all_apps_wide_2024-12-06,5m4a8uoo,2,uknfogys,2,False,0.0,0.0,366.0,1408.0
201,9,all_apps_wide_2024-12-06,5m4a8uoo,2,0zsu29c4,3,True,1.0,0.0,811.0,1903.0
202,10,all_apps_wide_2024-12-06,5m4a8uoo,2,qrad22bv,4,False,0.0,0.0,656.0,1908.0
203,11,all_apps_wide_2024-12-06,5m4a8uoo,2,gnnpegs2,5,True,1.0,0.0,305.0,924.0
204,12,all_apps_wide_2024-12-06,5m4a8uoo,2,n0oeob1a,6,False,0.0,0.0,881.0,1304.0
205,13,all_apps_wide_2024-12-06,5m4a8uoo,2,27vtfec0,7,False,0.0,0.0,468.0,1480.0
206,14,all_apps_wide_2024-12-06,5m4a8uoo,3,ciq5t1rm,1,False,0.0,0.0,347.0,1297.0
207,15,all_apps_wide_2024-12-06,5m4a8uoo,3,uknfogys,2,False,0.0,0.0,492.0,1371.0
208,16,all_apps_wide_2024-12-06,5m4a8uoo,3,0zsu29c4,3,True,1.0,0.0,237.0,1359.0
209,17,all_apps_wide_2024-12-06,5m4a8uoo,3,qrad22bv,4,False,0.0,0.0,807.0,1779.0
210,18,all_apps_wide_2024-12-06,5m4a8uoo,3,gnnpegs2,5,True,1.0,0.0,267.0,1801.0
211,19,all_apps_wide_2024-12-06,5m4a8uoo,3,n0oeob1a,6,False,0.0,0.0,440.0,1299.0
212,20,all_apps_wide_2024-12-06,5m4a8uoo,3,27vtfec0,7,False,0.0,0.0,362.0,1366.0
213,21,all_apps_wide_2024-12-06,5m4a8uoo,4,ciq5t1rm,1,False,0.0,0.0,299.0,1249.0
214,22,all_apps_wide_2024-12-06,5m4a8uoo,4,uknfogys,2,False,0.0,0.0,319.0,1001.0
215,23,all_apps_wide_2024-12-06,5m4a8uoo,4,0zsu29c4,3,True,1.0,0.0,717.0,1123.0
216,24,all_apps_wide_2024-12-06,5m4a8uoo,4,qrad22bv,4,False,0.0,0.0,329.0,1369.0
217,25,all_apps_wide_2024-12-06,5m4a8uoo,4,gnnpegs2,5,True,1.0,0.0,181.0,550.0
218,26,all_apps_wide_2024-12-06,5m4a8uoo,4,n0oeob1a,6,False,0.0,0.0,494.0,772.0
219,27,all_apps_wide_2024-12-06,5m4a8uoo,4,27vtfec0,7,False,0.0,0.0,401.0,858.0
220,28,all_apps_wide_2024-12-06,5m4a8uoo,5,ciq5t1rm,1,False,0.0,0.0,321.0,864.0
221,29,all_apps_wide_2024-12-06,5m4a8uoo,5,uknfogys,2,False,0.0,0.0,593.0,1024.0
222,30,all_apps_wide_2024-12-06,5m4a8uoo,5,0zsu29c4,3,True,1.0,0.0,1193.0,1533.0
223,31,all_apps_wide_2024-12-06,5m4a8uoo,5,qrad22bv,4,False,0.0,0.0,650.0,1152.0
224,32,all_apps_wide_2024-12-06,5m4a8uoo,5,gnnpegs2,5,True,1.0,0.0,166.0,981.0
225,33,all_apps_wide_2024-12-06,5m4a8uoo,5,n0oeob1a,6,False,0.0,0.0,304.0,1017.0
226,34,all_apps_wide_2024-12-06,5m4a8uoo,5,27vtfec0,7,False,0.0,0.0,465.0,978.0
227,35,all_apps_wide_2024-12-06,5m4a8uoo,6,ciq5t1rm,1,False,0.0,0.0,441.0,872.0
228,36,all_apps_wide_2024-12-06,5m4a8uoo,6,uknfogys,2,False,0.0,0.0,512.0,1120.0
229,37,all_apps_wide_2024-12-06,5m4a8uoo,6,0zsu29c4,3,True,1.0,0.0,499.0,1122.0
230,38,all_apps_wide_2024-12-06,5m4a8uoo,6,qrad22bv,4,False,0.0,0.0,196.0,1211.0
231,39,all_apps_wide_2024-12-06,5m4a8uoo,6,gnnpegs2,5,True,1.0,0.0,273.0,2723.0
232,40,all_apps_wide_2024-12-06,5m4a8uoo,6,n0oeob1a,6,False,0.0,0.0,324.0,681.0
233,41,all_apps_wide_2024-12-06,5m4a8uoo,6,27vtfec0,7,False,0.0,0.0,477.0,1239.0
234,42,all_apps_wide_2024-12-06,5m4a8uoo,7,ciq5t1rm,1,False,0.0,0.0,389.0,1399.0
235,43,all_apps_wide_2024-12-06,5m4a8uoo,7,uknfogys,2,False,0.0,0.0,223.0,1383.0
236,44,all_apps_wide_2024-12-06,5m4a8uoo,7,0zsu29c4,3,True,1.0,1.0,256.0,1011.0
237,45,all_apps_wide_2024-12-06,5m4a8uoo,7,qrad22bv,4,False,0.0,0.0,385.0,913.0
238,46,all_apps_wide_2024-12-06,5m4a8uoo,7,gnnpegs2,5,True,1.0,0.0,253.0,597.0
239,47,all_apps_wide_2024-12-06,5m4a8uoo,7,n0oeob1a,6,False,0.0,0.0,541.0,855.0
240,48,all_apps_wide_2024-12-06,5m4a8uoo,7,27vtfec0,7,False,0.0,0.0,583.0,1485.0
241,49,all_apps_wide_2024-12-06,5m4a8uoo,8,ciq5t1rm,1,False,0.0,0.0,1110.0,1051.0
242,50,all_apps_wide_2024-12-06,5m4a8uoo,8,uknfogys,2,False,0.0,0.0,505.0,1015.0
243,51,all_apps_wide_2024-12-06,5m4a8uoo,8,0zsu29c4,3,True,1.0,0.0,502.0,981.0
244,52,all_apps_wide_2024-12-06,5m4a8uoo,8,qrad22bv,4,False,1.0,1.0,346.0,848.0
245,53,all_apps_wide_2024-12-06,5m4a8uoo,8,gnnpegs2,5,True,1.0,0.0,171.0,797.0
246,54,all_apps_wide_2024-12-06,5m4a8uoo,8,n0oeob1a,6,False,0.0,0.0,307.0,909.0
247,55,all_apps_wide_2024-12-06,5m4a8uoo,8,27vtfec0,7,False,0.0,0.0,476.0,1096.0
248,56,all_apps_wide_2024-12-06,5m4a8uoo,9,ciq5t1rm,1,False,1.0,1.0,273.0,647.0
249,57,all_apps_wide_2024-12-06,5m4a8uoo,9,uknfogys,2,False,1.0,1.0,382.0,690.0
250,58,all_apps_wide_2024-12-06,5m4a8uoo,9,0zsu29c4,3,True,1.0,0.0,905.0,764.0
251,59,all_apps_wide_2024-12-06,5m4a8uoo,9,qrad22bv,4,False,1.0,1.0,285.0,495.0
252,60,all_apps_wide_2024-12-06,5m4a8uoo,9,gnnpegs2,5,True,1.0,0.0,590.0,868.0
253,61,all_apps_wide_2024-12-06,5m4a8uoo,9,n0oeob1a,6,False,1.0,1.0,297.0,787.0
